Name,Genres
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"['Biography', 'Classics', 'Autobiography']"
Mrs. Dalloway,['Classics']
Watchmen,"['Science', 'Fantasy']"
The Crucible,"['Classics', 'Historical', 'Drama', 'Academic']"
"Blood Meridian, or the Evening Redness in the West","['Historical', 'Classics']"
Calvin and Hobbes (Calvin and Hobbes #1),[]
The Perks of Being a Wallflower,[]
The Velveteen Rabbit,"['Classics', 'Fantasy']"
"Interview with the Vampire (The Vampire Chronicles, #1)","['Horror', 'Fantasy', 'Fantasy']"
"Catch-22 (Catch-22, #1)","['Classics', 'War', 'Historical']"
The Master and Margarita,"['Classics', 'Fantasy']"
"Things Fall Apart (The African Trilogy, #1)","['Classics', 'Historical', 'Academic']"
How the Grinch Stole Christmas!,['Classics']
As I Lay Dying,"['Classics', 'Academic']"
The Prophet,['Classics']
The Waste Land,['Classics']
"The Shining (The Shining, #1)","['Horror', 'Classics']"
Goodnight Moon,['Classics']
The Plague,['Classics']
Roots: The Saga of an American Family,"['Historical', 'Classics', 'Historical']"
Peter Pan,"['Classics', 'Fantasy', 'Adventure', 'Fantasy']"
Rebecca,"['Classics', 'Mystery', 'Romance']"
The Thorn Birds,"['Historical', 'Romance', 'Classics', 'Historical']"
One Day in the Life of Ivan Denisovich,"['Classics', 'Historical']"
"Outlander (Outlander, #1)","['Historical', 'Romance', 'Fantasy', 'Science', 'Historical']"
"Shōgun (Asian Saga, #1)","['Historical', 'Historical', 'Classics']"
A Fine Balance,['Historical']
Matilda,"['Fantasy', 'Classics']"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)","['Classics', 'Autobiography', 'Biography', 'Biography']"
Stranger in a Strange Land,"['Science', 'Classics', 'Science', 'Fantasy']"
Infinite Jest,['Classics']
Midnight's Children,"['Classics', 'Historical', 'Fantasy']"
His Dark Materials (His Dark Materials #1-3),['Fantasy']
The Wind-Up Bird Chronicle,['Fantasy']
A Streetcar Named Desire,"['Classics', 'Drama', 'Academic']"
The Screwtape Letters,"['Classics', 'Fantasy']"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","['Fantasy', 'Fantasy']"
The Cider House Rules,"['Classics', 'Historical']"
Dubliners,['Classics']
"Do Androids Dream of Electric Sheep? (Blade Runner, #1)","['Science', 'Classics', 'Science']"
Man's Search for Meaning,['Autobiography']
The House of the Spirits,"['Historical', 'Classics', 'Fantasy']"
The God of Small Things,['Historical']
"The Mists of Avalon (Avalon, #1)","['Fantasy', 'Historical', 'Science']"
Doctor Zhivago,"['Classics', 'Historical']"
Breakfast of Champions,"['Classics', 'Science']"
The House of Mirth,"['Classics', 'Historical']"
"Angels & Demons (Robert Langdon, #1)",['Mystery']
Jonathan Livingston Seagull,"['Classics', 'Fantasy']"
The Silmarillion,"['Fantasy', 'Classics']"
"The Once and Future King (The Once and Future King, #1-4)","['Fantasy', 'Classics', 'Historical']"
The Martian Chronicles,"['Science', 'Classics']"
Tuesdays with Morrie,"['Autobiography', 'Biography']"
"Guns, Germs, and Steel: The Fates of Human Societies",['Science']
Death of a Salesman,"['Classics', 'Drama', 'Academic']"
"Murder on the Orient Express (Hercule Poirot, #10)","['Mystery', 'Classics', 'Mystery']"
The Autobiography of Malcolm X,"['Biography', 'Autobiography', 'Biography']"
It,"['Horror', 'Fantasy']"
The Wind in the Willows,"['Classics', 'Fantasy']"
The Jungle,"['Classics', 'Historical', 'Academic', 'Historical', 'Classics']"
"My Ántonia (Great Plains Trilogy, #3)","['Classics', 'Historical']"
"The Clan of the Cave Bear (Earth's Children, #1)","['Historical', 'Fantasy', 'Historical']"
Midnight in the Garden of Good and Evil,"['Crime', 'Mystery', 'Mystery']"
Interpreter of Maladies,[]
The Heart Is a Lonely Hunter,['Classics']
The English Patient,"['Historical', 'Classics', 'Romance', 'War']"
Tender is the Night,['Classics']
Like Water for Chocolate,"['Romance', 'Historical', 'Classics']"
"Swann's Way (In Search of Lost Time, #1)",['Classics']
A Separate Peace,"['Classics', 'Historical', 'Academic']"
The Age of Innocence,"['Classics', 'Historical', 'Romance']"
The Amazing Adventures of Kavalier & Clay,['Historical']
If on a Winter's Night a Traveler,['Classics']
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,['Classics']
Disgrace,[]
Cannery Row,"['Classics', 'Historical']"
Gravity's Rainbow,"['Classics', 'Science', 'Historical']"
James and the Giant Peach,"['Fantasy', 'Classics']"
Ficciones,"['Classics', 'Fantasy']"
A Room with a View,"['Classics', 'Romance']"
I Know This Much Is True,[]
A Room of One's Own,['Classics']
The Phantom Tollbooth,"['Fantasy', 'Classics']"
Brideshead Revisited,"['Classics', 'Historical']"
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",['Autobiography']
The Cat in the Hat,['Classics']
A People's History of the United States,[]
"Neuromancer (Sprawl, #1)","['Science', 'Science']"
"Anne of Avonlea (Anne of Green Gables, #2)","['Classics', 'Historical']"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",['Fantasy']
"The Notebook (The Notebook, #1)",['Romance']
Fried Green Tomatoes at the Whistle Stop Cafe,"['Historical', 'Classics']"
"The Alienist (Dr. Laszlo Kreizler, #1)","['Historical', 'Mystery', 'Mystery', 'Historical']"
Sophie's World,['Classics']
House of Leaves,"['Horror', 'Fantasy', 'Mystery']"
"The Hound of the Baskervilles (Sherlock Holmes, #5)","['Classics', 'Mystery', 'Mystery']"
Demian. Die Geschichte von Emil Sinclairs Jugend,['Classics']
Native Son,"['Classics', 'Historical']"
The Man Without Qualities,['Classics']
Being and Time,['Classics']
Bridge to Terabithia,"['Classics', 'Fantasy']"
Girl with a Pearl Earring,"['Historical', 'Historical', 'Classics']"
Labyrinths:  Selected Stories and Other Writings,"['Classics', 'Fantasy']"
The Neverending Story,"['Fantasy', 'Classics']"
The Tin Drum,"['Classics', 'Historical']"
Exodus,"['Historical', 'Classics', 'Historical']"
Me Talk Pretty One Day,['Autobiography']
Into the Wild,"['Biography', 'Adventure']"
Nausea,['Classics']
The Glass Bead Game,['Classics']
Norwegian Wood,['Romance']
Journey to the End of the Night,"['Classics', 'War']"
The Virgin Suicides,['Classics']
"Oh, the Places You'll Go!",[]
American Psycho,"['Horror', 'Classics', 'Mystery']"
The Reader,['Historical']
The Very Hungry Caterpillar,[]
Foucault's Pendulum,"['Mystery', 'Historical', 'Classics']"
The Magus,"['Classics', 'Fantasy', 'Mystery']"
"Absalom, Absalom!",['Classics']
The Hero With a Thousand Faces,['Fantasy']
"Little House in the Big Woods (Little House, #1)","['Classics', 'Historical']"
"A Time to Kill (Jake Brigance, #1)","['Mystery', 'Mystery', 'Drama']"
Nine Stories,['Classics']
All the King's Men,"['Classics', 'Historical']"
Letters to a Young Poet,['Classics']
Revolutionary Road,"['Classics', 'Historical']"
Bury My Heart at Wounded Knee: An Indian History of the American West,"['Classics', 'Historical']"
Cold Mountain,"['Historical', 'Historical', 'Romance']"
"I, Claudius (Claudius, #1)","['Historical', 'Classics', 'Historical']"
The Hours,['Historical']
"Neverwhere (London Below, #1)","['Fantasy', 'Fantasy']"
The BFG,['Fantasy']
"I, Robot (Robot, #0.1)","['Science', 'Classics']"
The Glass Menagerie,"['Classics', 'Drama', 'Academic']"
"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)","['Historical', 'Classics']"
"Holes (Holes, #1)",[]
Rosencrantz and Guildenstern Are Dead,"['Drama', 'Classics']"
"The Power of One (The Power of One, #1)","['Historical', 'Classics']"
The Firm,"['Mystery', 'Mystery']"
Hiroshima,"['Classics', 'War', 'War']"
The Bluest Eye,"['Classics', 'Historical']"
Breakfast at Tiffany's,['Classics']
Silent Spring,"['Science', 'Classics']"
The Chosen,"['Classics', 'Historical']"
A Passage to India,"['Classics', 'Historical']"
"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",['Science']
The Left Hand of Darkness (Hainish Cycle #4),"['Science', 'Fantasy', 'Classics']"
The Second Sex,['Classics']
The Razor's Edge,['Classics']
"The Last Battle (Chronicles of Narnia, #7)","['Fantasy', 'Classics']"
A Good Man is Hard to Find and Other Stories,['Classics']
"Cry, the Beloved Country","['Classics', 'Historical']"
"The Bean Trees (Greer Family, #1)",[]
Snow Falling on Cedars,"['Historical', 'Mystery', 'Historical']"
"The Killer Angels (The Civil War Trilogy, #2)","['Historical', 'War', 'Historical']"
"The Witching Hour (Lives of the Mayfair Witches, #1)","['Horror', 'Fantasy', 'Fantasy']"
Light in August,"['Classics', 'Classics']"
The Crying of Lot 49,['Classics']
Heart of Darkness and The Secret Sharer,"['Classics', 'Academic']"
"The Hunt for Red October (Jack Ryan, #3)","['Mystery', 'War']"
White Fang,"['Classics', 'Adventure']"
Tropic of Cancer,['Classics']
The Shipping News,[]
Schindler's List,"['Classics', 'War']"
The Blind Assassin,"['Historical', 'Mystery']"
"The House at Pooh Corner (Winnie-the-Pooh, #2)",['Classics']
The Pearl,"['Classics', 'Academic']"
Foundation (Foundation #1),"['Science', 'Classics']"
The Maltese Falcon,"['Mystery', 'Classics', 'Mystery', 'Mystery']"
"Something Wicked This Way Comes (Green Town, #2)","['Horror', 'Fantasy', 'Classics', 'Science']"
Go Ask Alice,['Classics']
A Heartbreaking Work of Staggering Genius,[]
White Noise,['Classics']
Narcissus and Goldmund,"['Classics', 'Historical']"
Different Seasons,['Horror']
Pygmalion,"['Classics', 'Drama']"
Speak,[]
"Are You There God? It's Me, Margaret",['Classics']
The Witches,['Fantasy']
Song of Solomon,"['Classics', 'Historical']"
The Phantom of the Opera,"['Classics', 'Horror', 'Romance']"
"The Gunslinger (The Dark Tower, #1)","['Fantasy', 'Horror', 'Science']"
The Satanic Verses,"['Classics', 'Fantasy']"
The Bonfire of the Vanities,['Classics']
The Complete Stories,['Classics']
The Power of Myth,['Fantasy']
Wild Swans: Three Daughters of China,"['Biography', 'Autobiography']"
Sons and Lovers,['Classics']
Out of Africa,"['Classics', 'Autobiography', 'Biography']"
"Bridget Jones's Diary (Bridget Jones, #1)",['Romance']
The Fall,['Classics']
The Notebooks of Malte Laurids Brigge,['Classics']
"A Storm of Swords (A Song of Ice and Fire, #3)","['Fantasy', 'Fantasy', 'Science', 'Fantasy', 'Fantasy', 'Adventure']"
Zorba the Greek,['Classics']
The Scarlet Pimpernel,"['Classics', 'Historical', 'Adventure', 'Romance', 'Historical']"
Anthem,"['Classics', 'Science', 'Science']"
"The Vampire Lestat (The Vampire Chronicles, #2)","['Horror', 'Fantasy', 'Fantasy']"
The Polar Express,[]
The Man Without Qualities: Volume I (1/2),['Classics']
Angle of Repose,"['Historical', 'Classics']"
Sometimes a Great Notion,['Classics']
Lady Chatterley's Lover,"['Classics', 'Romance']"
'Salem's Lot,"['Horror', 'Fantasy']"
"All the Pretty Horses (The Border Trilogy, #1)","['Historical', 'Classics', 'Adventure']"
The Tale of Peter Rabbit,['Classics']
A Brief History of Time,"['Science', 'Science']"
"The Magician's Nephew (Chronicles of Narnia, #6)","['Fantasy', 'Classics']"
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","['Fantasy', 'Classics']"
Howl and Other Poems,['Classics']
"Jurassic Park (Jurassic Park, #1)","['Science', 'Adventure', 'Fantasy']"
The Selected Poetry of Rainer Maria Rilke,['Classics']
The Waves,"['Classics', 'Classics']"
Ragtime,"['Historical', 'Classics']"
Pippi Longstocking,['Classics']
The Quiet American,"['Classics', 'Historical', 'War']"
Misery,['Horror']
"Rabbit, Run (Rabbit Angstrom #1)",['Classics']
On the Beach,"['Science', 'Classics', 'Science']"
The French Lieutenant's Woman,"['Classics', 'Historical', 'Romance']"
The Green Mile,"['Horror', 'Fantasy']"
The Decline of the West,['Classics']
The End of the Affair,"['Classics', 'Romance']"
Old Yeller,['Classics']
"A Canticle for Leibowitz (St. Leibowitz, #1)","['Science', 'Classics', 'Science']"
Pale Fire,['Classics']
An American Tragedy,['Classics']
The Bone People,[]
Valley of the Dolls,"['Classics', 'Romance']"
The Alexandria Quartet  (The Alexandria Quartet #1-4),"['Classics', 'Historical']"
The Westing Game,"['Mystery', 'Classics']"
Naked Lunch,['Classics']
Portnoy's Complaint,['Classics']
The Pelican Brief,"['Mystery', 'Mystery']"
"A Clash of Kings  (A Song of Ice and Fire, #2)","['Fantasy', 'Fantasy']"
The Gulag Archipelago 1918–1956,['Classics']
"The Big Sleep (Philip Marlowe, #1)","['Mystery', 'Mystery', 'Classics', 'Mystery', 'Mystery']"
"American Pastoral (The American Trilogy, #1)",['Classics']
Collected Fictions,"['Classics', 'Fantasy']"
Snow Crash,"['Science', 'Science']"
"A Suitable Boy (A Suitable Boy, #1)",['Historical']
Prodigal Summer,[]
A Wizard of Earthsea,"['Fantasy', 'Classics']"
"All Creatures Great and Small (All Creatures Great and Small, #1)","['Autobiography', 'Classics', 'Biography']"
The Moon is a Harsh Mistress,"['Science', 'Classics']"
"Prince Caspian (Chronicles of Narnia, #2)","['Fantasy', 'Classics']"
Carrie,"['Horror', 'Fantasy']"
"The Eye of the World (The Wheel of Time, #1)","['Fantasy', 'Fantasy']"
The Prince of Tides,"['Classics', 'Romance']"
The Myth of Sisyphus and Other Essays,['Classics']
"The Horse and His Boy (Chronicles of Narnia, #5)","['Fantasy', 'Classics']"
Invisible Cities,"['Fantasy', 'Classics']"
"The Murder of Roger Ackroyd (Hercule Poirot, #4)","['Mystery', 'Classics', 'Mystery']"
The Woman in the Dunes,['Classics']
Stuart Little,"['Classics', 'Fantasy']"
Childhood's End,"['Science', 'Classics']"
Into Thin Air: A Personal Account of the Mount Everest Disaster,"['Adventure', 'Autobiography', 'Biography']"
My Name Is Asher Lev,"['Classics', 'Historical']"
Mythology,"['Fantasy', 'Classics']"
V for Vendetta,"['Science', 'Science']"
Johnny Got His Gun,"['Classics', 'War', 'Historical', 'Horror']"
Stopping by Woods on a Snowy Evening,['Classics']
Howards End,"['Classics', 'Historical']"
How to Win Friends and Influence People,[]
